PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,PROMPT,HIGHLIGHTS,UNIMPORTANT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY
478522c0-3590-40ab-9089-d0d886481586,free,1,erwewrewreewewrerwerwewr,"[15,21]","",0,1749486120880,1749486120942,e,69, 
478522c0-3590-40ab-9089-d0d886481586,free,1,erwewrewreewewrerwerwewr,"[15,21]","",1,1749486120882,1749486120942,r,82, 
478522c0-3590-40ab-9089-d0d886481586,free,1,erwewrewreewewrerwerwewr,"[15,21]","",2,1749486120898,1749486120919,w,87, 
478522c0-3590-40ab-9089-d0d886481586,free,1,erwewrewreewewrerwerwewr,"[15,21]","",3,1749486121034,1749486121123,e,69, 
478522c0-3590-40ab-9089-d0d886481586,free,1,erwewrewreewewrerwerwewr,"[15,21]","",4,1749486121036,1749486121078,w,87, 
478522c0-3590-40ab-9089-d0d886481586,free,1,erwewrewreewewrerwerwewr,"[15,21]","",5,1749486121056,1749486121101,r,82, 
478522c0-3590-40ab-9089-d0d886481586,free,1,erwewrewreewewrerwerwewr,"[15,21]","",6,1749486121169,1749486121262,e,69, 
478522c0-3590-40ab-9089-d0d886481586,free,1,erwewrewreewewrerwerwewr,"[15,21]","",7,1749486121172,1749486121236,w,87, 
478522c0-3590-40ab-9089-d0d886481586,free,1,erwewrewreewewrerwerwewr,"[15,21]","",8,1749486121190,1749486121261,r,82, 
478522c0-3590-40ab-9089-d0d886481586,free,1,erwewrewreewewrerwerwewr,"[15,21]","",9,1749486121304,1749486121372,e,69, 
478522c0-3590-40ab-9089-d0d886481586,free,1,erwewrewreewewrerwerwewr,"[15,21]","",10,1749486121439,1749486121506,e,69, 
478522c0-3590-40ab-9089-d0d886481586,free,1,erwewrewreewewrerwerwewr,"[15,21]","",11,1749486121440,1749486121506,w,87, 
478522c0-3590-40ab-9089-d0d886481586,free,1,erwewrewreewewrerwerwewr,"[15,21]","",12,1749486121574,1749486121662,e,69, 
478522c0-3590-40ab-9089-d0d886481586,free,1,erwewrewreewewrerwerwewr,"[15,21]","",13,1749486121576,1749486121662,w,87, 
478522c0-3590-40ab-9089-d0d886481586,free,1,erwewrewreewewrerwerwewr,"[15,21]","",14,1749486121595,1749486121639,r,82, 
478522c0-3590-40ab-9089-d0d886481586,free,1,erwewrewreewewrerwerwewr,"[15,21]","",15,1749486121707,1749486121809,e,69, 
478522c0-3590-40ab-9089-d0d886481586,free,1,erwewrewreewewrerwerwewr,"[15,21]","",16,1749486121730,1749486121809,r,82, 
478522c0-3590-40ab-9089-d0d886481586,free,1,erwewrewreewewrerwerwewr,"[15,21]","",17,1749486121730,1749486121775,w,87, 
478522c0-3590-40ab-9089-d0d886481586,free,1,erwewrewreewewrerwerwewr,"[15,21]","",18,1749486121842,1749486121955,e,69, 
478522c0-3590-40ab-9089-d0d886481586,free,1,erwewrewreewewrerwerwewr,"[15,21]","",19,1749486121842,1749486121955,r,82, 
478522c0-3590-40ab-9089-d0d886481586,free,1,erwewrewreewewrerwerwewr,"[15,21]","",20,1749486121864,1749486121909,w,87, 
478522c0-3590-40ab-9089-d0d886481586,free,1,erwewrewreewewrerwerwewr,"[15,21]","",21,1749486121977,1749486122113,e,69, 
478522c0-3590-40ab-9089-d0d886481586,free,1,erwewrewreewewrerwerwewr,"[15,21]","",22,1749486121977,1749486122135,w,87, 
478522c0-3590-40ab-9089-d0d886481586,free,1,erwewrewreewewrerwerwewr,"[15,21]","",23,1749486122000,1749486122090,r,82, 
