PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,PROMPT,HIGHLIGHTS,UNIMPORTANT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY
f65e5021-5008-431f-822f-c5d802242c36,image-to-prompt,1,jwhekwhejkwhekhwjkehqwkehwq,"[6,12]","",0,1749482471721,1749482471813,j,74, 
f65e5021-5008-431f-822f-c5d802242c36,image-to-prompt,1,jwhekwhejkwhekhwjkehqwkehwq,"[6,12]","",1,1749482471743,1749482471861,w,87, 
f65e5021-5008-431f-822f-c5d802242c36,image-to-prompt,1,jwhekwhejkwhekhwjkehqwkehwq,"[6,12]","",2,1749482471837,1749482471880,h,72, 
f65e5021-5008-431f-822f-c5d802242c36,image-to-prompt,1,jwhekwhejkwhekhwjkehqwkehwq,"[6,12]","",3,1749482471849,1749482471934,e,69, 
f65e5021-5008-431f-822f-c5d802242c36,image-to-prompt,1,jwhekwhejkwhekhwjkehqwkehwq,"[6,12]","",4,1749482471898,1749482472009,k,75, 
f65e5021-5008-431f-822f-c5d802242c36,image-to-prompt,1,jwhekwhejkwhekhwjkehqwkehwq,"[6,12]","",5,1749482471944,1749482472020,w,87, 
f65e5021-5008-431f-822f-c5d802242c36,image-to-prompt,1,jwhekwhejkwhekhwjkehqwkehwq,"[6,12]","",6,1749482471990,1749482472039,h,72, 
f65e5021-5008-431f-822f-c5d802242c36,image-to-prompt,1,jwhekwhejkwhekhwjkehqwkehwq,"[6,12]","",7,1749482472033,1749482472102,e,69, 
f65e5021-5008-431f-822f-c5d802242c36,image-to-prompt,1,jwhekwhejkwhekhwjkehqwkehwq,"[6,12]","",8,1749482472045,1749482472266,j,74, 
f65e5021-5008-431f-822f-c5d802242c36,image-to-prompt,1,jwhekwhejkwhekhwjkehqwkehwq,"[6,12]","",9,1749482472052,1749482472073,k,75, 
f65e5021-5008-431f-822f-c5d802242c36,image-to-prompt,1,jwhekwhejkwhekhwjkehqwkehwq,"[6,12]","",10,1749482472117,1749482472208,w,87, 
f65e5021-5008-431f-822f-c5d802242c36,image-to-prompt,1,jwhekwhejkwhekhwjkehqwkehwq,"[6,12]","",11,1749482472132,1749482472183,h,72, 
f65e5021-5008-431f-822f-c5d802242c36,image-to-prompt,1,jwhekwhejkwhekhwjkehqwkehwq,"[6,12]","",12,1749482472195,1749482472270,e,69, 
f65e5021-5008-431f-822f-c5d802242c36,image-to-prompt,1,jwhekwhejkwhekhwjkehqwkehwq,"[6,12]","",13,1749482472198,1749482472288,k,75, 
f65e5021-5008-431f-822f-c5d802242c36,image-to-prompt,1,jwhekwhejkwhekhwjkehqwkehwq,"[6,12]","",14,1749482472275,1749482472334,h,72, 
f65e5021-5008-431f-822f-c5d802242c36,image-to-prompt,1,jwhekwhejkwhekhwjkehqwkehwq,"[6,12]","",15,1749482472302,1749482472392,w,87, 
f65e5021-5008-431f-822f-c5d802242c36,image-to-prompt,1,jwhekwhejkwhekhwjkehqwkehwq,"[6,12]","",16,1749482472337,1749482472703,j,74, 
f65e5021-5008-431f-822f-c5d802242c36,image-to-prompt,1,jwhekwhejkwhekhwjkehqwkehwq,"[6,12]","",17,1749482472351,1749482472410,k,75, 
f65e5021-5008-431f-822f-c5d802242c36,image-to-prompt,1,jwhekwhejkwhekhwjkehqwkehwq,"[6,12]","",18,1749482472368,1749482472450,e,69, 
f65e5021-5008-431f-822f-c5d802242c36,image-to-prompt,1,jwhekwhejkwhekhwjkehqwkehwq,"[6,12]","",19,1749482472436,1749482472487,h,72, 
f65e5021-5008-431f-822f-c5d802242c36,image-to-prompt,1,jwhekwhejkwhekhwjkehqwkehwq,"[6,12]","",20,1749482472471,1749482472546,q,81, 
f65e5021-5008-431f-822f-c5d802242c36,image-to-prompt,1,jwhekwhejkwhekhwjkehqwkehwq,"[6,12]","",21,1749482472491,1749482472562,w,87, 
f65e5021-5008-431f-822f-c5d802242c36,image-to-prompt,1,jwhekwhejkwhekhwjkehqwkehwq,"[6,12]","",22,1749482472501,1749482472734,k,75, 
f65e5021-5008-431f-822f-c5d802242c36,image-to-prompt,1,jwhekwhejkwhekhwjkehqwkehwq,"[6,12]","",23,1749482472539,1749482472643,e,69, 
f65e5021-5008-431f-822f-c5d802242c36,image-to-prompt,1,jwhekwhejkwhekhwjkehqwkehwq,"[6,12]","",24,1749482472582,1749482472639,h,72, 
f65e5021-5008-431f-822f-c5d802242c36,image-to-prompt,1,jwhekwhejkwhekhwjkehqwkehwq,"[6,12]","",25,1749482472628,1749482472728,w,87, 
f65e5021-5008-431f-822f-c5d802242c36,image-to-prompt,1,jwhekwhejkwhekhwjkehqwkehwq,"[6,12]","",26,1749482472633,1749482472725,q,81, 
