PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,PROMPT,HIGHLIGHTS,UNIMPORTANT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY
g,text-to-prompt,1,i87i87i87i78i87i,"[11,14]","",0,1749488937580,1749488937647,i,73, Monthly
g,text-to-prompt,1,i87i87i87i78i87i,"[11,14]","",1,1749488937626,1749488937742,8,56, Monthly
g,text-to-prompt,1,i87i87i87i78i87i,"[11,14]","",2,1749488937628,1749488937716,7,55, Monthly
g,text-to-prompt,1,i87i87i87i78i87i,"[11,14]","",3,1749488937740,1749488937827,i,73, Monthly
g,text-to-prompt,1,i87i87i87i78i87i,"[11,14]","",4,1749488937806,1749488937916,8,56, Monthly
g,text-to-prompt,1,i87i87i87i78i87i,"[11,14]","",5,1749488937808,1749488937873,7,55, Monthly
g,text-to-prompt,1,i87i87i87i78i87i,"[11,14]","",6,1749488937873,1749488937983,i,73, Monthly
g,text-to-prompt,1,i87i87i87i78i87i,"[11,14]","",7,1749488937961,1749488938029,8,56, Monthly
g,text-to-prompt,1,i87i87i87i78i87i,"[11,14]","",8,1749488937962,1749488938007,7,55, Monthly
g,text-to-prompt,1,i87i87i87i78i87i,"[11,14]","",9,1749488938006,1749488938254,i,73, Monthly
g,text-to-prompt,1,i87i87i87i78i87i,"[11,14]","",10,1749488938211,1749488938288,7,55, Monthly
g,text-to-prompt,1,i87i87i87i78i87i,"[11,14]","",11,1749488938232,1749488938299,8,56, Monthly
g,text-to-prompt,1,i87i87i87i78i87i,"[11,14]","",12,1749488938298,1749488938366,i,73, Monthly
g,text-to-prompt,1,i87i87i87i78i87i,"[11,14]","",13,1749488938321,1749488938433,8,56, Monthly
g,text-to-prompt,1,i87i87i87i78i87i,"[11,14]","",14,1749488938343,1749488938411,7,55, Monthly
g,text-to-prompt,1,i87i87i87i78i87i,"[11,14]","",15,1749488938434,1749488938501,i,73, Monthly
