PARTICIPANT_ID,PROMPT,HIGHLIGHTS,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE
aw,asdfcv wasedfrcv,[7,13],0,1744016972916,1744016973093,a,65
aw,asdfcv wasedfrcv,[7,13],1,1744016972935,1744016973363,s,83
aw,asdfcv wasedfrcv,[7,13],2,1744016973048,1744016973318,d,68
aw,asdfcv wasedfrcv,[7,13],3,1744016973115,1744016973318,f,70
aw,asdfcv wasedfrcv,[7,13],4,1744016973137,1744016973205,c,67
aw,asdfcv wasedfrcv,[7,13],5,1744016973183,1744016973340,v,86
aw,asdfcv wasedfrcv,[7,13],6,1744016973385,1744016973610, ,32
aw,asdfcv wasedfrcv,[7,13],7,1744016973543,1744016973677,w,87
aw,asdfcv wasedfrcv,[7,13],8,1744016973565,1744016973655,a,65
aw,asdfcv wasedfrcv,[7,13],9,1744016973588,1744016973723,s,83
aw,asdfcv wasedfrcv,[7,13],10,1744016973610,1744016973723,e,69
aw,asdfcv wasedfrcv,[7,13],11,1744016973633,1744016973858,d,68
aw,asdfcv wasedfrcv,[7,13],12,1744016973656,1744016973881,f,70
aw,asdfcv wasedfrcv,[7,13],13,1744016973700,1744016973745,r,82
aw,asdfcv wasedfrcv,[7,13],14,1744016973746,1744016973835,c,67
aw,asdfcv wasedfrcv,[7,13],15,1744016973790,1744016973813,v,86
