PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,PROMPT,HIGHLIGHTS,UNIMPORTANT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY
478522c0-3590-40ab-9089-d0d886481586,free,0,rerwrwerrwerwerewrew,"[19,20]","[8,11]",0,1749486098334,1749486098397,r,82, 
478522c0-3590-40ab-9089-d0d886481586,free,0,rerwrwerrwerwerewrew,"[19,20]","[8,11]",1,1749486098375,1749486098561,e,69, 
478522c0-3590-40ab-9089-d0d886481586,free,0,rerwrwerrwerwerewrew,"[19,20]","[8,11]",2,1749486098558,1749486098602,r,82, 
478522c0-3590-40ab-9089-d0d886481586,free,0,rerwrwerrwerwerewrew,"[19,20]","[8,11]",3,1749486098600,1749486098669,w,87, 
478522c0-3590-40ab-9089-d0d886481586,free,0,rerwrwerrwerwerewrew,"[19,20]","[8,11]",4,1749486098646,1749486098758,r,82, 
478522c0-3590-40ab-9089-d0d886481586,free,0,rerwrwerrwerwerewrew,"[19,20]","[8,11]",5,1749486098737,1749486098871,w,87, 
478522c0-3590-40ab-9089-d0d886481586,free,0,rerwrwerrwerwerewrew,"[19,20]","[8,11]",6,1749486098739,1749486098848,e,69, 
478522c0-3590-40ab-9089-d0d886481586,free,0,rerwrwerrwerwerewrew,"[19,20]","[8,11]",7,1749486098827,1749486098940,r,82, 
478522c0-3590-40ab-9089-d0d886481586,free,0,rerwrwerrwerwerewrew,"[19,20]","[8,11]",8,1749486098961,1749486099073,r,82, 
478522c0-3590-40ab-9089-d0d886481586,free,0,rerwrwerrwerwerewrew,"[19,20]","[8,11]",9,1749486099050,1749486099095,w,87, 
478522c0-3590-40ab-9089-d0d886481586,free,0,rerwrwerrwerwerewrew,"[19,20]","[8,11]",10,1749486113428,1749486113541,e,69, 
478522c0-3590-40ab-9089-d0d886481586,free,0,rerwrwerrwerwerewrew,"[19,20]","[8,11]",11,1749486113518,1749486113607,r,82, 
478522c0-3590-40ab-9089-d0d886481586,free,0,rerwrwerrwerwerewrew,"[19,20]","[8,11]",12,1749486113586,1749486113675,w,87, 
478522c0-3590-40ab-9089-d0d886481586,free,0,rerwrwerrwerwerewrew,"[19,20]","[8,11]",13,1749486113588,1749486113675,e,69, 
478522c0-3590-40ab-9089-d0d886481586,free,0,rerwrwerrwerwerewrew,"[19,20]","[8,11]",14,1749486113652,1749486113766,r,82, 
478522c0-3590-40ab-9089-d0d886481586,free,0,rerwrwerrwerwerewrew,"[19,20]","[8,11]",15,1749486113743,1749486113855,e,69, 
478522c0-3590-40ab-9089-d0d886481586,free,0,rerwrwerrwerwerewrew,"[19,20]","[8,11]",16,1749486113744,1749486113812,w,87, 
478522c0-3590-40ab-9089-d0d886481586,free,0,rerwrwerrwerwerewrew,"[19,20]","[8,11]",17,1749486113813,1749486114058,r,82, 
478522c0-3590-40ab-9089-d0d886481586,free,0,rerwrwerrwerwerewrew,"[19,20]","[8,11]",18,1749486113878,1749486114059,e,69, 
478522c0-3590-40ab-9089-d0d886481586,free,0,rerwrwerrwerwerewrew,"[19,20]","[8,11]",19,1749486113900,1749486114035,w,87, 
