PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,PROMPT,HIGHLIGHTS,UNIMPORTANT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY
f65e5021-5008-431f-822f-c5d802242c36,text-to-prompt,0," ,,,,,,,kkkkkkkkkkk","[6,8]","",0,1749482357341,1749482357444, ,32, 
f65e5021-5008-431f-822f-c5d802242c36,text-to-prompt,0," ,,,,,,,kkkkkkkkkkk","[6,8]","",1,1749482357777,1749482357851,",",188, 
f65e5021-5008-431f-822f-c5d802242c36,text-to-prompt,0," ,,,,,,,kkkkkkkkkkk","[6,8]","",2,1749482357943,1749482358012,",",188, 
f65e5021-5008-431f-822f-c5d802242c36,text-to-prompt,0," ,,,,,,,kkkkkkkkkkk","[6,8]","",3,1749482358093,1749482358153,",",188, 
f65e5021-5008-431f-822f-c5d802242c36,text-to-prompt,0," ,,,,,,,kkkkkkkkkkk","[6,8]","",4,1749482358226,1749482358294,",",188, 
f65e5021-5008-431f-822f-c5d802242c36,text-to-prompt,0," ,,,,,,,kkkkkkkkkkk","[6,8]","",5,1749482358366,1749482358421,",",188, 
f65e5021-5008-431f-822f-c5d802242c36,text-to-prompt,0," ,,,,,,,kkkkkkkkkkk","[6,8]","",6,1749482358501,1749482358565,",",188, 
f65e5021-5008-431f-822f-c5d802242c36,text-to-prompt,0," ,,,,,,,kkkkkkkkkkk","[6,8]","",7,1749482358670,1749482358710,",",188, 
f65e5021-5008-431f-822f-c5d802242c36,text-to-prompt,0," ,,,,,,,kkkkkkkkkkk","[6,8]","",8,1749482358813,1749482358878,k,75, 
f65e5021-5008-431f-822f-c5d802242c36,text-to-prompt,0," ,,,,,,,kkkkkkkkkkk","[6,8]","",9,1749482358943,1749482358980,k,75, 
f65e5021-5008-431f-822f-c5d802242c36,text-to-prompt,0," ,,,,,,,kkkkkkkkkkk","[6,8]","",10,1749482359012,1749482359113,k,75, 
f65e5021-5008-431f-822f-c5d802242c36,text-to-prompt,0," ,,,,,,,kkkkkkkkkkk","[6,8]","",11,1749482359252,1749482359327,k,75, 
f65e5021-5008-431f-822f-c5d802242c36,text-to-prompt,0," ,,,,,,,kkkkkkkkkkk","[6,8]","",12,1749482359387,1749482359443,k,75, 
f65e5021-5008-431f-822f-c5d802242c36,text-to-prompt,0," ,,,,,,,kkkkkkkkkkk","[6,8]","",13,1749482359510,1749482359639,k,75, 
f65e5021-5008-431f-822f-c5d802242c36,text-to-prompt,0," ,,,,,,,kkkkkkkkkkk","[6,8]","",14,1749482359689,1749482359754,k,75, 
f65e5021-5008-431f-822f-c5d802242c36,text-to-prompt,0," ,,,,,,,kkkkkkkkkkk","[6,8]","",15,1749482359815,1749482359864,k,75, 
f65e5021-5008-431f-822f-c5d802242c36,text-to-prompt,0," ,,,,,,,kkkkkkkkkkk","[6,8]","",16,1749482359915,1749482359978,k,75, 
f65e5021-5008-431f-822f-c5d802242c36,text-to-prompt,0," ,,,,,,,kkkkkkkkkkk","[6,8]","",17,1749482360032,1749482360091,k,75, 
f65e5021-5008-431f-822f-c5d802242c36,text-to-prompt,0," ,,,,,,,kkkkkkkkkkk","[6,8]","",18,1749482360143,1749482360210,k,75, 
