PARTICIPANT_ID,PROMPT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE
23325,egrezgh wh rthw,1,1743466771970,1743466772127,e,69
23325,egrezgh wh rthw,2,1743466772037,1743466772172,g,71
23325,egrezgh wh rthw,3,1743466772038,1743466772172,r,82
23325,egrezgh wh rthw,4,1743466772194,1743466772307,e,69
23325,egrezgh wh rthw,5,1743466772284,1743466772397,z,90
23325,egrezgh wh rthw,6,1743466772307,1743466772397,g,71
23325,egrezgh wh rthw,7,1743466772329,1743466772374,h,72
23325,egrezgh wh rthw,8,1743466772330,1743466772555, ,32
23325,egrezgh wh rthw,9,1743466772419,1743466772757,w,87
23325,egrezgh wh rthw,10,1743466772509,1743466772623,h,72
23325,egrezgh wh rthw,11,1743466772623,1743466772734, ,32
23325,egrezgh wh rthw,12,1743466772644,1743466772691,r,82
23325,egrezgh wh rthw,13,1743466772645,1743466772734,t,84
23325,egrezgh wh rthw,14,1743466772690,1743466772802,h,72
23325,egrezgh wh rthw,15,1743466772825,1743466772870,w,87
